Venue_Name,Won_By
M Chinnaswamy Stadium,140
"Punjab Cricket Association Stadium, Mohali",33
Feroz Shah Kotla,9
Wankhede Stadium,5
Eden Gardens,5
Sawai Mansingh Stadium,6
"Rajiv Gandhi International Stadium, Uppal",9
"MA Chidambaram Stadium, Chepauk",6
"Rajiv Gandhi International Stadium, Uppal",3
"Punjab Cricket Association Stadium, Mohali",66
M Chinnaswamy Stadium,7
"MA Chidambaram Stadium, Chepauk",9
Dr DY Patil Sports Academy,10
"Punjab Cricket Association Stadium, Mohali",4
M Chinnaswamy Stadium,13
Eden Gardens,7
Feroz Shah Kotla,10
"Rajiv Gandhi International Stadium, Uppal",7
Sawai Mansingh Stadium,45
"MA Chidambaram Stadium, Chepauk",8
"Rajiv Gandhi International Stadium, Uppal",5
"Punjab Cricket Association Stadium, Mohali",9
Dr DY Patil Sports Academy,29
Sawai Mansingh Stadium,8
M Chinnaswamy Stadium,6
"MA Chidambaram Stadium, Chepauk",7
Dr DY Patil Sports Academy,7
Feroz Shah Kotla,4
Eden Gardens,5
Sawai Mansingh Stadium,8
M Chinnaswamy Stadium,9
"MA Chidambaram Stadium, Chepauk",18
"Rajiv Gandhi International Stadium, Uppal",23
Sawai Mansingh Stadium,3
"Punjab Cricket Association Stadium, Mohali",9
Eden Gardens,23
Wankhede Stadium,9
"Punjab Cricket Association Stadium, Mohali",41
Feroz Shah Kotla,12
Wankhede Stadium,8
Feroz Shah Kotla,6
Sawai Mansingh Stadium,65
"Rajiv Gandhi International Stadium, Uppal",25
Eden Gardens,3
M Chinnaswamy Stadium,5
Eden Gardens,6
Wankhede Stadium,1
"MA Chidambaram Stadium, Chepauk",14
"Punjab Cricket Association Stadium, Mohali",6
Feroz Shah Kotla,5
"MA Chidambaram Stadium, Chepauk",10
M Chinnaswamy Stadium,3
Eden Gardens,3
Sawai Mansingh Stadium,5
"Rajiv Gandhi International Stadium, Uppal",7
Wankhede Stadium,105
Wankhede Stadium,9
Dr DY Patil Sports Academy,3
Newlands,19
Newlands,75
Newlands,10
Newlands,8
St George's Park,92
Kingsmead,11
Newlands,24
Kingsmead,9
Newlands,
Kingsmead,7
Kingsmead,12
St George's Park,6
Newlands,27
Kingsmead,6
St George's Park,92
SuperSport Park,5
Kingsmead,5
Kingsmead,3
SuperSport Park,6
SuperSport Park,38
Buffalo Park,9
Kingsmead,8
St George's Park,3
New Wanderers Stadium,18
St George's Park,6
New Wanderers Stadium,9
Buffalo Park,78
Kingsmead,78
Kingsmead,9
SuperSport Park,19
SuperSport Park,7
SuperSport Park,12
Buffalo Park,7
De Beers Diamond Oval,3
De Beers Diamond Oval,7
St George's Park,16
New Wanderers Stadium,7
De Beers Diamond Oval,53
SuperSport Park,6
SuperSport Park,8
Kingsmead,12
Kingsmead,2
Kingsmead,2
OUTsurance Oval,6
St George's Park,7
New Wanderers Stadium,6
New Wanderers Stadium,1
OUTsurance Oval,14
SuperSport Park,7
New Wanderers Stadium,7
Kingsmead,4
Kingsmead,24
SuperSport Park,4
SuperSport Park,12
SuperSport Park,6
New Wanderers Stadium,6
New Wanderers Stadium,6
Dr DY Patil Sports Academy,11
Brabourne Stadium,4
"Punjab Cricket Association Stadium, Mohali",5
Eden Gardens,7
"MA Chidambaram Stadium, Chepauk",31
"Sardar Patel Stadium, Motera",6
M Chinnaswamy Stadium,8
Eden Gardens,55
Feroz Shah Kotla,98
M Chinnaswamy Stadium,10
Feroz Shah Kotla,5
Barabati Stadium,6
"Sardar Patel Stadium, Motera",34
Brabourne Stadium,7
Barabati Stadium,10
"MA Chidambaram Stadium, Chepauk",
Brabourne Stadium,7
M Chinnaswamy Stadium,36
"Punjab Cricket Association Stadium, Mohali",31
Brabourne Stadium,5
"Sardar Patel Stadium, Motera",8
"Punjab Cricket Association Stadium, Mohali",39
M Chinnaswamy Stadium,17
"Sardar Patel Stadium, Motera",17
Dr DY Patil Sports Academy,41
Feroz Shah Kotla,40
Brabourne Stadium,4
"MA Chidambaram Stadium, Chepauk",5
Feroz Shah Kotla,67
Eden Gardens,24
"Punjab Cricket Association Stadium, Mohali",6
"MA Chidambaram Stadium, Chepauk",23
Brabourne Stadium,63
Eden Gardens,8
Feroz Shah Kotla,37
"Vidarbha Cricket Association Stadium, Jamtha",2
"MA Chidambaram Stadium, Chepauk",24
Sawai Mansingh Stadium,9
Eden Gardens,14
M Chinnaswamy Stadium,7
"Punjab Cricket Association Stadium, Mohali",6
"Vidarbha Cricket Association Stadium, Jamtha",6
M Chinnaswamy Stadium,7
Feroz Shah Kotla,7
Sawai Mansingh Stadium,37
"Vidarbha Cricket Association Stadium, Jamtha",13
Brabourne Stadium,39
"MA Chidambaram Stadium, Chepauk",9
Sawai Mansingh Stadium,5
"MA Chidambaram Stadium, Chepauk",6
Himachal Pradesh Cricket Association Stadium,5
M Chinnaswamy Stadium,57
Eden Gardens,8
Himachal Pradesh Cricket Association Stadium,6
Feroz Shah Kotla,11
Eden Gardens,9
Dr DY Patil Sports Academy,35
Dr DY Patil Sports Academy,38
Dr DY Patil Sports Academy,9
Dr DY Patil Sports Academy,22
"MA Chidambaram Stadium, Chepauk",2
"Rajiv Gandhi International Stadium, Uppal",8
Nehru Stadium,6
Feroz Shah Kotla,8
Dr DY Patil Sports Academy,7
Eden Gardens,9
Sawai Mansingh Stadium,6
M Chinnaswamy Stadium,9
"Punjab Cricket Association Stadium, Mohali",6
Dr DY Patil Sports Academy,4
"Rajiv Gandhi International Stadium, Uppal",33
Sawai Mansingh Stadium,9
Wankhede Stadium,8
"MA Chidambaram Stadium, Chepauk",21
"Rajiv Gandhi International Stadium, Uppal",8
Dr DY Patil Sports Academy,3
Eden Gardens,8
Nehru Stadium,7
Feroz Shah Kotla,16
Wankhede Stadium,7
Eden Gardens,6
"Punjab Cricket Association Stadium, Mohali",48
Wankhede Stadium,8
Eden Gardens,9
Feroz Shah Kotla,29
"Rajiv Gandhi International Stadium, Uppal",37
Sawai Mansingh Stadium,8
"MA Chidambaram Stadium, Chepauk",25
Feroz Shah Kotla,3
Dr DY Patil Sports Academy,8
Nehru Stadium,55
Feroz Shah Kotla,17
Sawai Mansingh Stadium,7
M Chinnaswamy Stadium,26
Nehru Stadium,38
Eden Gardens,8
Sawai Mansingh Stadium,6
"MA Chidambaram Stadium, Chepauk",19
Wankhede Stadium,23
Feroz Shah Kotla,7
"Rajiv Gandhi International Stadium, Uppal",20
"MA Chidambaram Stadium, Chepauk",8
Dr DY Patil Sports Academy,21
Nehru Stadium,17
"Rajiv Gandhi International Stadium, Uppal",4
M Chinnaswamy Stadium,85
Eden Gardens,10
Wankhede Stadium,32
M Chinnaswamy Stadium,9
"Punjab Cricket Association Stadium, Mohali",5
Sawai Mansingh Stadium,63
"Rajiv Gandhi International Stadium, Uppal",6
"Punjab Cricket Association Stadium, Mohali",76
Sawai Mansingh Stadium,9
"MA Chidambaram Stadium, Chepauk",18
Holkar Cricket Stadium,6
M Chinnaswamy Stadium,4
Wankhede Stadium,10
Himachal Pradesh Cricket Association Stadium,29
Holkar Cricket Stadium,8
Dr DY Patil Sports Academy,6
Himachal Pradesh Cricket Association Stadium,111
"MA Chidambaram Stadium, Chepauk",11
Dr DY Patil Sports Academy,7
Wankhede Stadium,10
Himachal Pradesh Cricket Association Stadium,82
Feroz Shah Kotla,
M Chinnaswamy Stadium,8
Eden Gardens,5
Wankhede Stadium,6
Wankhede Stadium,4
"MA Chidambaram Stadium, Chepauk",43
"MA Chidambaram Stadium, Chepauk",58
"MA Chidambaram Stadium, Chepauk",8
Eden Gardens,8
Wankhede Stadium,28
Sawai Mansingh Stadium,31
M Chinnaswamy Stadium,20
